id_loyer;Code_postal;Ville;Nbre_pièces;Loyer_moyen;Surface_moyenne;Nbre_observations;Nbre_logements
1;B1300;Aix;0.1;451;28;38819;170270
2;B1300;Aix;0.2;595;44;77310;360910
3;B1300;Aix;0.3;753;66;69600;365280
4;B1300;Aix;0.4;929;89;27701;180458
5;B1300;Aix;0.5;1181;107;9032;101422
6;B1300;Aix;0.5;746;67;4689;86034
7;B3300;Bordeaux;0.1;423;28;6549;91208
8;B3300;Bordeaux;0.2;539;45;27884;118128
9;B3300;Bordeaux;0.3;698;67;20152;73870
10;B3300;Bordeaux;0.4;856;92;4713;33980
11;B3300;Bordeaux;0.5;980;107;4571;23404
12;B3300;Bordeaux;0.5;700;68;2668;16844
13;B6300;Clermont-Ferrand;0.1;323;27;3342;27352
14;B6300;Clermont-Ferrand;0.2;431;45;8720;78591
15;B6300;Clermont-Ferrand;0.3;541;65;7328;71382
16;B6300;Clermont-Ferrand;0.4;671;94;3155;35870
17;B6300;Clermont-Ferrand;0.5;788;105;2106;32475
18;B6300;Clermont-Ferrand;0.5;504;61;1016;11686
19;B3800;Grenoble;0.1;405;28;28884;51751
20;B3800;Grenoble;0.2;544;46;34780;95134
21;B3800;Grenoble;0.3;676;66;33826;100135
22;B3800;Grenoble;0.4;854;90;20602;69681
23;B3800;Grenoble;0.5;1046;113;3462;21666
24;B3800;Grenoble;0.5;630;58;733;6224
25;B5900;Lille;0.1;410;27;10936;73668
26;B5900;Lille;0.2;536;44;20824;128680
27;B5900;Lille;0.3;680;66;13128;82050
28;B5900;Lille;0.4;831;90;3184;40930
29;B5900;Lille;0.5;870;100;7074;88960
30;B5900;Lille;0.5;612;63;2534;24616
31;B6900;Lyon;0.1;446;29;31512;167234
32;B6900;Lyon;0.2;572;46;71080;383060
33;B6900;Lyon;0.3;713;67;66152;351877
34;B6900;Lyon;0.4;941;94;37728;222131
35;B1300;Marseille;0.1;451;28;38819;170270
36;B1300;Marseille;0.2;595;44;77310;360910
37;B1300;Marseille;0.3;753;66;69600;365280
38;B1300;Marseille;0.4;929;89;27701;180458
39;B1300;Marseille;0.5;1181;107;9032;101422
40;B1300;Marseille;0.5;746;67;4689;86034
41;B3400;Montpellier;0.1;415;26;22901;102735
42;B3400;Montpellier;0.2;558;43;37876;153669
43;B3400;Montpellier;0.3;711;67;21601;104541
44;B3400;Montpellier;0.4;878;94;6683;50580
45;B3400;Montpellier;0.5;1047;108;3367;37724
46;B3400;Montpellier;0.5;697;64;683;10162
47;B5400;Nancy;0.1;357;31;9718;53256
48;B5400;Nancy;0.2;456;47;20016;85542
49;B5400;Nancy;0.3;558;68;17520;69149
50;B5400;Nancy;0.4;680;94;8905;40054
51;B5400;Nancy;0.5;831;113;2042;13643
52;B4400;Nantes;0.1;380;28;21800;78540
53;B4400;Nantes;0.2;504;44;53354;161716
54;B4400;Nantes;0.3;639;65;36831;102239
55;B4400;Nantes;0.4;852;90;7232;44784
56;B4400;Nantes;0.5;958;104;4083;39717
57;B4400;Nantes;0.5;624;64;964;14100
58;B0600;Nice;0.1;492;29;52928;160051
59;B0600;Nice;0.2;648;46;86968;291772
60;B0600;Nice;0.3;826;67;58144;219923
61;B0600;Nice;0.4;1015;91;16707;73495
62;B0600;Nice;0.5;1234;107;951;11547
63;B0600;Nice;0.5;824;63;520;14632
64;B7500;Paris;0.1;600;27;26846;190566
65;B7500;Paris;0.2;770;38;53350;390777
66;B7500;Paris;0.3;1030;57;44173;395573
67;B7500;Paris;0.4;1530;93;17403;210722
68;B7500;Paris;0.5;1499;109;887;120843
69;B7500;Paris;0.5;866;59;639;89382
70;B3500;Rennes;0.1;372;26;19422;72297
71;B3500;Rennes;0.2;478;44;35505;125722
72;B3500;Rennes;0.3;600;64;29307;100304
73;B3500;Rennes;0.4;773;87;12759;46889
74;B3500;Rennes;0.5;971;115;4631;42394
75;B3500;Rennes;0.5;568;62;378;12340
76;B6700;Strasbourg;0.1;380;27;21376;70429
77;B6700;Strasbourg;0.2;516;48;33592;133803
78;B6700;Strasbourg;0.3;647;71;29856;141420
79;B6700;Strasbourg;0.4;827;100;17840;95968
80;B6700;Strasbourg;0.5;984;126;441;7306
81;B3100;Toulouse;0.1;397;28;24375;146760
82;B3100;Toulouse;0.2;497;44;49540;303286
83;B3100;Toulouse;0.3;629;66;39811;237137
84;B3100;Toulouse;0.4;822;92;10142;96626
85;B3100;Toulouse;0.5;923;104;9912;114933
86;B3100;Toulouse;0.5;655;66;2478;25061
87;B3700;Tours;0.1;341;27;15630;44076
88;B3700;Tours;0.2;466;45;24590;68346
89;B3700;Tours;0.3;599;65;15674;47790
90;B3700;Tours;0.4;750;92;5226;23988
91;B3700;Tours;0.5;899;105;4072;26940
92;B3700;Tours;0.5;618;59;1082;9936
