Ville;Temp_min;Temp_max;Pluviometrie;Ensoleillement;Jours_orage;Jours_neige
Aix;10.6;20.1;515;2858;20.1;1.3
Bordeaux;9.1;18.5;944;2036;29.7;3.9
Clermont-Ferrand;6.6;16.8;579;1913;28.7;19.5
Grenoble;6.3;16.2;934;2066;31.2;28.2
Lille;7.1;14.5;741;1618;18.7;17.7
Lyon;8.1;16.9;832;2002;28.2;15.5
Marseille;10.8;20.2;515;2858;20.1;1.3
Montpellier;10.4;19.9;629;2668;23.2;1.1
Nancy;6;14.9;775;1665;27.6;29.6
Nantes;8.3;16.7;820;1791;14.3;4.8
Nice;12.4;19.6;733;2724;28.6;0.9
Paris;8.9;16;637;1662;17.9;12.2
Rennes;8.2;17.6;628;1701;23.3;18.2
Strasbourg;6.6;15.3;665;1709;28.9;28.8
Toulouse;9.1;18.5;638;2031;25.9;6.3
Tours;7.5;16.1;696;1833;19.3;8.7
