Ville;Superficie;Habitants;Dep;Prop_dEtudiant;url_photo
Aix;186.1;146282;13;37305;images/aix_en_provence.jpg
Bordeaux;49.4;260352;33;132604;images/bordeaux.jpg
Clermont-Ferrand;42.7;149464;63;47457;images/clermont_ferrand.jpg
Grenoble;18.1;159855;38;95295;images/grenoble.jpg
Lille;34.8;235189;59;179126;images/lille.jpg
Lyon;47.9;525236;69;199860;images/lyon.jpg
Marseille;240.6;874619;13;109684;images/marseille.jpg
Montpellier;56.9;293410;34;112031;images/montpellier.jpg
Nancy;15;106330;54;84123;images/nancy.jpg
Nantes;65.2;319284;44;46826;images/nantes.jpg
Nice;71.9;343889;6;61629;images/nice.jpg
Paris;105.4;2175601;75;352588;images/paris.jpg
Rennes;50.4;221898;35;128567;images/rennes.jpg
Strasbourg;78.3;287532;67;81034;images/strasbourg.jpg
Toulouse;118.3;479553;31;118000;images/toulouse.jpg
Tours;34.4;139230;37;30412;images/tours.jpg
